Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,2.000E+00,Trigger Level,2.000E+00,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,5.000e-01,Vertical Scale,5.000e+00,
Vertical Position,-1.780e+00,Vertical Position,-7.000e+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,1.000E-04,Horizontal Scale,1.000E-04,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,1.000e-07,Sampling Period,1.000e-07,
Horizontal Old Scale,1.000E-04,Horizontal Old Scale,1.000E-04,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
0, ,-13, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
-1, ,-14, ,
-1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
-1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,10, ,
1, ,18, ,
3, ,16, ,
3, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,-15, ,
1, ,-15, ,
0, ,-15, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
-1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
4, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
-1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-15, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-2, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
3, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
3, ,16, ,
3, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
1, ,16, ,
0, ,16, ,
0, ,16, ,
3, ,-14, ,
3, ,-15, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
0, ,-14, ,
1, ,-14, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
0, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
3, ,-14, ,
3, ,-14, ,
0, ,-14, ,
0, ,-14, ,
1, ,-14, ,
