Format,1.0B,
Memory Length,10000,Memory Length,10000,
IntpDistance,0,IntpDistance,0,
Trigger Address,4999,Trigger Address,4999,
Trigger Level,6.800E-01,Trigger Level,6.800E-01,
Source,CH1,Source,CH2,
Vertical Units,V,Vertical Units,V,
Vertical Units Div,0,Vertical Units Div,0,
Vertical Units Extend Div,16,Vertical Units Extend Div,16,
Label,,Label,,
Probe Type,0,Probe Type,0,
Probe Ratio,1.000e+01,Probe Ratio,1.000e+00,
Vertical Scale,5.000e-01,Vertical Scale,1.000e+00,
Vertical Position,-1.820e+00,Vertical Position,1.200e-01,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,2.000E-06,Horizontal Scale,2.000E-06,
Horizontal Position,0.000E+00,Horizontal Position,0.000E+00,
Horizontal Mode,Main,Horizontal Mode,Main,
SincET Mode,Real Time,SincET Mode,Real Time,
Sampling Period,2.000e-09,Sampling Period,2.000e-09,
Horizontal Old Scale,2.000E-06,Horizontal Old Scale,2.000E-06,
Horizontal Old Position,0.000E+00,Horizontal Old Position,0.000E+00,
Firmware,V1.23,Firmware,V1.23,
Mode,Fast,Mode,Fast,
Waveform Data,,Waveform Data,,
1, ,4, ,
1, ,3, ,
2, ,3, ,
2, ,3, ,
-1, ,3, ,
2, ,2, ,
-1, ,2, ,
1, ,2, ,
2, ,2, ,
2, ,1, ,
-1, ,1, ,
2, ,1, ,
1, ,1, ,
1, ,0, ,
1, ,0, ,
1, ,0, ,
-1, ,0, ,
2, ,-1, ,
-1, ,-1, ,
1, ,-1, ,
2, ,-1, ,
1, ,-1, ,
-1, ,-2, ,
2, ,-2, ,
1, ,-2, ,
1, ,-3, ,
1, ,-3, ,
1, ,-3, ,
-1, ,-3, ,
3, ,-4, ,
-1, ,-4, ,
1, ,-4, ,
1, ,-4, ,
1, ,-5, ,
-1, ,-5, ,
3, ,-5, ,
1, ,-5, ,
1, ,-6, ,
1, ,-6, ,
1, ,-6, ,
-1, ,-6, ,
3, ,-7, ,
-1, ,-7, ,
1, ,-7, ,
1, ,-7, ,
1, ,-8, ,
-1, ,-8, ,
2, ,-8, ,
1, ,-8, ,
1, ,-9, ,
2, ,-9, ,
1, ,-9, ,
-1, ,-9, ,
3, ,-10, ,
-1, ,-10, ,
1, ,-10, ,
2, ,-10, ,
2, ,-11, ,
-1, ,-11, ,
2, ,-11, ,
1, ,-11, ,
1, ,-11, ,
1, ,-12, ,
1, ,-12, ,
-1, ,-12, ,
3, ,-14, ,
1, ,-14, ,
1, ,-14, ,
2, ,-14, ,
1, ,-14, ,
-1, ,-15, ,
2, ,-15, ,
1, ,-15, ,
1, ,-15, ,
2, ,-16, ,
1, ,-16, ,
-1, ,-16, ,
2, ,-16, ,
1, ,-16, ,
1, ,-16, ,
2, ,-17, ,
2, ,-17, ,
-1, ,-17, ,
3, ,-17, ,
1, ,-18, ,
1, ,-18, ,
1, ,-18, ,
1, ,-19, ,
-1, ,-19, ,
3, ,-19, ,
-1, ,-19, ,
1, ,-19, ,
2, ,-20, ,
1, ,-20, ,
-1, ,-20, ,
2, ,-20, ,
1, ,-20, ,
1, ,-20, ,
2, ,-21, ,
1, ,-21, ,
1, ,-21, ,
2, ,-22, ,
-1, ,-22, ,
1, ,-22, ,
2, ,-22, ,
2, ,-22, ,
-1, ,-23, ,
2, ,-23, ,
1, ,-23, ,
1, ,-24, ,
2, ,-24, ,
1, ,-24, ,
-1, ,-24, ,
3, ,-24, ,
-1, ,-24, ,
1, ,-25, ,
2, ,-25, ,
1, ,-25, ,
-1, ,-25, ,
2, ,-25, ,
1, ,-26, ,
1, ,-26, ,
2, ,-26, ,
1, ,-26, ,
-1, ,-26, ,
2, ,-27, ,
-1, ,-27, ,
1, ,-27, ,
1, ,-27, ,
1, ,-27, ,
-1, ,-28, ,
2, ,-27, ,
2, ,-27, ,
1, ,-28, ,
1, ,-28, ,
1, ,-29, ,
1, ,-29, ,
1, ,-29, ,
1, ,-29, ,
1, ,-29, ,
1, ,-29, ,
1, ,-30, ,
-1, ,-30, ,
2, ,-30, ,
1, ,-30, ,
1, ,-30, ,
1, ,-30, ,
1, ,-30, ,
1, ,-30, ,
2, ,-31, ,
-1, ,-31, ,
1, ,-31, ,
1, ,-31, ,
1, ,-31, ,
-1, ,-33, ,
2, ,-33, ,
1, ,-33, ,
1, ,-33, ,
1, ,-33, ,
1, ,-34, ,
-1, ,-34, ,
2, ,-34, ,
-1, ,-34, ,
1, ,-34, ,
1, ,-34, ,
1, ,-35, ,
-1, ,-35, ,
2, ,-35, ,
1, ,-35, ,
1, ,-35, ,
2, ,-35, ,
1, ,-35, ,
1, ,-35, ,
2, ,-36, ,
-1, ,-36, ,
1, ,-36, ,
2, ,-36, ,
2, ,-36, ,
-1, ,-37, ,
2, ,-36, ,
1, ,-36, ,
1, ,-37, ,
1, ,-37, ,
1, ,-37, ,
-1, ,-37, ,
2, ,-37, ,
-1, ,-37, ,
1, ,-38, ,
2, ,-37, ,
2, ,-38, ,
-1, ,-38, ,
2, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-39, ,
3, ,-39, ,
-1, ,-39, ,
1, ,-39, ,
2, ,-38, ,
2, ,-39, ,
-1, ,-39, ,
2, ,-39, ,
1, ,-39, ,
1, ,-40, ,
1, ,-40, ,
1, ,-40, ,
1, ,-40, ,
2, ,-40, ,
1, ,-40, ,
1, ,-40, ,
2, ,-39, ,
1, ,-40, ,
-1, ,-41, ,
2, ,-40, ,
2, ,-41, ,
1, ,-41, ,
1, ,-41, ,
1, ,-41, ,
-1, ,-41, ,
2, ,-41, ,
1, ,-41, ,
1, ,-41, ,
1, ,-41, ,
1, ,-41, ,
-1, ,-42, ,
2, ,-41, ,
1, ,-41, ,
1, ,-42, ,
1, ,-41, ,
-1, ,-41, ,
-1, ,-41, ,
3, ,-41, ,
1, ,-42, ,
1, ,-42, ,
1, ,-41, ,
1, ,-42, ,
-1, ,-42, ,
2, ,-42, ,
1, ,-42, ,
1, ,-43, ,
1, ,-42, ,
1, ,-42, ,
-1, ,-42, ,
2, ,-42, ,
-1, ,-42, ,
1, ,-42, ,
2, ,-41, ,
2, ,-42, ,
-1, ,-43, ,
2, ,-42, ,
2, ,-42, ,
1, ,-43, ,
1, ,-43, ,
1, ,-43, ,
-1, ,-42, ,
2, ,-42, ,
1, ,-42, ,
1, ,-43, ,
2, ,-42, ,
1, ,-43, ,
-1, ,-43, ,
2, ,-42, ,
1, ,-42, ,
1, ,-43, ,
2, ,-43, ,
1, ,-42, ,
-1, ,-42, ,
2, ,-42, ,
-1, ,-43, ,
1, ,-43, ,
1, ,-42, ,
1, ,-43, ,
-1, ,-43, ,
2, ,-42, ,
1, ,-42, ,
1, ,-43, ,
1, ,-43, ,
1, ,-43, ,
-1, ,-43, ,
2, ,-43, ,
-1, ,-43, ,
1, ,-43, ,
1, ,-42, ,
1, ,-43, ,
-1, ,-43, ,
2, ,-42, ,
1, ,-42, ,
1, ,-43, ,
1, ,-42, ,
1, ,-42, ,
1, ,-42, ,
2, ,-42, ,
-1, ,-43, ,
1, ,-43, ,
1, ,-42, ,
1, ,-42, ,
-1, ,-42, ,
2, ,-42, ,
1, ,-42, ,
1, ,-42, ,
1, ,-42, ,
1, ,-42, ,
1, ,-42, ,
2, ,-42, ,
-1, ,-42, ,
1, ,-42, ,
2, ,-41, ,
1, ,-42, ,
-1, ,-42, ,
2, ,-41, ,
1, ,-41, ,
1, ,-42, ,
2, ,-41, ,
1, ,-41, ,
-1, ,-41, ,
2, ,-41, ,
-1, ,-41, ,
1, ,-41, ,
2, ,-40, ,
1, ,-41, ,
-1, ,-41, ,
3, ,-40, ,
1, ,-40, ,
1, ,-41, ,
1, ,-40, ,
1, ,-40, ,
1, ,-40, ,
2, ,-40, ,
-1, ,-40, ,
1, ,-40, ,
2, ,-39, ,
1, ,-40, ,
-1, ,-40, ,
2, ,-39, ,
1, ,-39, ,
1, ,-39, ,
1, ,-39, ,
1, ,-39, ,
1, ,-39, ,
2, ,-39, ,
-1, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-38, ,
-1, ,-38, ,
2, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-38, ,
1, ,-37, ,
1, ,-37, ,
2, ,-37, ,
-1, ,-37, ,
1, ,-37, ,
2, ,-37, ,
1, ,-37, ,
-1, ,-37, ,
2, ,-36, ,
1, ,-36, ,
1, ,-37, ,
1, ,-36, ,
1, ,-36, ,
-1, ,-36, ,
2, ,-36, ,
-1, ,-35, ,
1, ,-35, ,
2, ,-35, ,
1, ,-35, ,
-1, ,-35, ,
2, ,-35, ,
1, ,-35, ,
1, ,-35, ,
1, ,-35, ,
1, ,-34, ,
-1, ,-34, ,
2, ,-34, ,
-1, ,-33, ,
1, ,-33, ,
2, ,-33, ,
1, ,-33, ,
-1, ,-33, ,
2, ,-33, ,
1, ,-33, ,
1, ,-33, ,
1, ,-31, ,
1, ,-31, ,
-1, ,-31, ,
2, ,-31, ,
-1, ,-31, ,
1, ,-31, ,
2, ,-30, ,
1, ,-30, ,
-1, ,-30, ,
2, ,-30, ,
2, ,-30, ,
1, ,-30, ,
1, ,-30, ,
1, ,-29, ,
1, ,-29, ,
2, ,-29, ,
-1, ,-29, ,
1, ,-29, ,
1, ,-28, ,
1, ,-28, ,
-1, ,-28, ,
2, ,-28, ,
1, ,-27, ,
1, ,-27, ,
1, ,-27, ,
1, ,-27, ,
-1, ,-27, ,
2, ,-27, ,
-1, ,-26, ,
1, ,-26, ,
1, ,-26, ,
1, ,-26, ,
-1, ,-26, ,
2, ,-25, ,
1, ,-25, ,
1, ,-25, ,
1, ,-25, ,
-1, ,-24, ,
-1, ,-24, ,
2, ,-24, ,
-1, ,-24, ,
1, ,-24, ,
1, ,-24, ,
1, ,-23, ,
-1, ,-23, ,
2, ,-23, ,
1, ,-22, ,
1, ,-22, ,
2, ,-22, ,
1, ,-22, ,
1, ,-22, ,
2, ,-22, ,
-1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
1, ,-21, ,
-1, ,-21, ,
2, ,-21, ,
1, ,-20, ,
1, ,-20, ,
1, ,-20, ,
1, ,-19, ,
-1, ,-19, ,
2, ,-19, ,
-1, ,-19, ,
1, ,-18, ,
1, ,-18, ,
1, ,-18, ,
-1, ,-18, ,
1, ,-18, ,
1, ,-17, ,
1, ,-17, ,
1, ,-17, ,
1, ,-16, ,
1, ,-16, ,
2, ,-16, ,
-1, ,-16, ,
1, ,-16, ,
1, ,-15, ,
1, ,-15, ,
-1, ,-15, ,
2, ,-15, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
1, ,-14, ,
-1, ,-14, ,
2, ,-14, ,
-1, ,-12, ,
1, ,-12, ,
2, ,-12, ,
2, ,-11, ,
-1, ,-11, ,
2, ,-11, ,
1, ,-10, ,
1, ,-10, ,
1, ,-10, ,
1, ,-10, ,
1, ,-10, ,
2, ,-9, ,
-1, ,-9, ,
1, ,-9, ,
1, ,-9, ,
1, ,-8, ,
-1, ,-8, ,
2, ,-8, ,
1, ,-8, ,
1, ,-8, ,
1, ,-8, ,
-1, ,-7, ,
-1, ,-7, ,
3, ,-6, ,
-1, ,-6, ,
1, ,-6, ,
1, ,-6, ,
1, ,-5, ,
-1, ,-5, ,
2, ,-5, ,
1, ,-5, ,
1, ,-5, ,
2, ,-4, ,
1, ,-4, ,
1, ,-4, ,
2, ,-4, ,
-1, ,-4, ,
1, ,-3, ,
2, ,-3, ,
2, ,-2, ,
-1, ,-2, ,
2, ,-2, ,
1, ,-2, ,
1, ,-2, ,
1, ,-1, ,
1, ,-1, ,
-1, ,-1, ,
2, ,-1, ,
-1, ,-1, ,
1, ,0, ,
1, ,0, ,
1, ,0, ,
-1, ,1, ,
2, ,1, ,
1, ,1, ,
1, ,1, ,
2, ,2, ,
1, ,2, ,
-1, ,2, ,
2, ,2, ,
-1, ,2, ,
1, ,3, ,
1, ,3, ,
1, ,3, ,
-1, ,4, ,
2, ,4, ,
2, ,4, ,
1, ,4, ,
1, ,5, ,
1, ,5, ,
-1, ,5, ,
3, ,6, ,
-1, ,6, ,
1, ,6, ,
2, ,6, ,
2, ,6, ,
-1, ,8, ,
2, ,8, ,
1, ,8, ,
1, ,8, ,
1, ,8, ,
1, ,8, ,
1, ,9, ,
2, ,9, ,
-1, ,9, ,
1, ,10, ,
1, ,10, ,
1, ,10, ,
-1, ,10, ,
2, ,10, ,
1, ,11, ,
1, ,11, ,
1, ,11, ,
1, ,11, ,
-1, ,12, ,
2, ,12, ,
-1, ,12, ,
1, ,12, ,
2, ,13, ,
1, ,13, ,
-1, ,13, ,
2, ,14, ,
1, ,14, ,
1, ,14, ,
2, ,14, ,
1, ,14, ,
-1, ,15, ,
3, ,15, ,
-1, ,15, ,
1, ,15, ,
1, ,15, ,
1, ,15, ,
-1, ,16, ,
3, ,16, ,
1, ,16, ,
1, ,16, ,
2, ,16, ,
1, ,17, ,
1, ,18, ,
3, ,18, ,
-1, ,18, ,
1, ,18, ,
2, ,18, ,
1, ,18, ,
-1, ,19, ,
2, ,19, ,
-1, ,19, ,
1, ,19, ,
1, ,19, ,
1, ,20, ,
-1, ,20, ,
2, ,20, ,
-1, ,21, ,
-1, ,21, ,
1, ,20, ,
1, ,21, ,
-1, ,21, ,
2, ,21, ,
1, ,22, ,
1, ,22, ,
1, ,22, ,
1, ,22, ,
-1, ,23, ,
2, ,23, ,
-1, ,23, ,
1, ,23, ,
2, ,23, ,
1, ,23, ,
-1, ,24, ,
2, ,24, ,
1, ,24, ,
1, ,24, ,
1, ,24, ,
1, ,24, ,
-1, ,25, ,
3, ,25, ,
-1, ,25, ,
1, ,25, ,
1, ,25, ,
1, ,25, ,
-1, ,27, ,
2, ,27, ,
1, ,27, ,
1, ,27, ,
1, ,27, ,
1, ,28, ,
-1, ,28, ,
2, ,28, ,
-1, ,28, ,
1, ,28, ,
2, ,28, ,
1, ,29, ,
-1, ,29, ,
2, ,29, ,
-1, ,29, ,
1, ,30, ,
1, ,28, ,
1, ,29, ,
-1, ,30, ,
2, ,30, ,
-1, ,30, ,
1, ,31, ,
2, ,30, ,
2, ,31, ,
-1, ,31, ,
3, ,31, ,
1, ,32, ,
1, ,32, ,
1, ,31, ,
1, ,32, ,
-1, ,32, ,
3, ,32, ,
-1, ,32, ,
1, ,32, ,
2, ,32, ,
1, ,33, ,
-1, ,33, ,
2, ,33, ,
1, ,33, ,
1, ,34, ,
1, ,33, ,
1, ,34, ,
-1, ,34, ,
2, ,34, ,
-1, ,34, ,
-1, ,34, ,
1, ,33, ,
1, ,34, ,
-1, ,34, ,
2, ,34, ,
1, ,35, ,
1, ,35, ,
1, ,34, ,
1, ,35, ,
-1, ,35, ,
2, ,35, ,
-1, ,36, ,
1, ,36, ,
2, ,35, ,
1, ,36, ,
-1, ,36, ,
2, ,36, ,
1, ,36, ,
1, ,37, ,
1, ,35, ,
1, ,36, ,
1, ,36, ,
2, ,36, ,
-1, ,37, ,
1, ,37, ,
1, ,36, ,
1, ,37, ,
-1, ,37, ,
3, ,37, ,
1, ,38, ,
1, ,38, ,
1, ,37, ,
1, ,38, ,
-1, ,38, ,
2, ,38, ,
-1, ,38, ,
1, ,38, ,
2, ,37, ,
1, ,38, ,
-1, ,38, ,
2, ,38, ,
1, ,39, ,
1, ,39, ,
1, ,38, ,
1, ,39, ,
-1, ,39, ,
2, ,38, ,
-1, ,39, ,
1, ,39, ,
1, ,38, ,
1, ,39, ,
-1, ,39, ,
2, ,38, ,
1, ,39, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,39, ,
-1, ,39, ,
1, ,39, ,
2, ,38, ,
1, ,39, ,
-1, ,40, ,
2, ,39, ,
1, ,40, ,
1, ,40, ,
2, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,39, ,
-1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,39, ,
1, ,40, ,
1, ,40, ,
1, ,40, ,
1, ,40, ,
-1, ,40, ,
3, ,40, ,
-1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,40, ,
1, ,41, ,
1, ,41, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,40, ,
-1, ,41, ,
1, ,41, ,
1, ,40, ,
1, ,40, ,
-1, ,40, ,
2, ,40, ,
1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
3, ,40, ,
1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,40, ,
1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,40, ,
-1, ,40, ,
2, ,39, ,
-1, ,40, ,
1, ,40, ,
2, ,39, ,
2, ,39, ,
-1, ,39, ,
2, ,39, ,
1, ,40, ,
1, ,40, ,
1, ,39, ,
1, ,39, ,
-1, ,39, ,
3, ,39, ,
-1, ,39, ,
1, ,39, ,
2, ,38, ,
1, ,39, ,
-1, ,39, ,
2, ,39, ,
1, ,39, ,
1, ,39, ,
2, ,38, ,
1, ,38, ,
-1, ,38, ,
2, ,38, ,
-1, ,38, ,
1, ,38, ,
1, ,37, ,
1, ,38, ,
-1, ,38, ,
2, ,37, ,
1, ,38, ,
1, ,38, ,
1, ,37, ,
-1, ,37, ,
-1, ,37, ,
3, ,37, ,
-1, ,37, ,
1, ,37, ,
1, ,36, ,
1, ,37, ,
-1, ,37, ,
2, ,36, ,
1, ,37, ,
1, ,37, ,
1, ,35, ,
1, ,36, ,
-1, ,36, ,
3, ,35, ,
-1, ,36, ,
1, ,36, ,
1, ,34, ,
1, ,35, ,
-1, ,35, ,
2, ,34, ,
1, ,35, ,
1, ,35, ,
1, ,34, ,
